No,Indonesia,Aceh,,Kamus
313,Aku mau periksa paru-paru.,lon neuk pareksa paru-paru.,,
314,Aku mau rebahan dulu.,lon neuk rebahan dilee.,,
315,Aku mau tambah kambing bulan ini.,lon neuk tamah kameng buleuen nyoe.,,
316,Aku mau tanam bawang putih.,lon neuk pula bawang puteh.,,
317,Aku mau tanam cabai merah.,lon neuk pula campli mirah,,
318,Aku membaca artikel di majalah.,lon baca artikel bak majalah.,,
319,Aku membaca artikel tentang kesehatan gigi.,lon baca artikel teuntang kesehatan gizi.,,
320,Aku membaca buku cerita anak-anak.,lon baca buku calitra aneuk-aneuk.,,
321,Aku membaca buku dongeng sebelum tidur.,lon baca buku dongeng sigohlom eh.,,
322,Aku membaca buku novel saat waktu senggang.,lon baca buku novel wate watee senggang.,,
323,Aku membaca buku sains untuk tugas sekolah.,lon baca buku sains keu tugah sikula.,,
324,Aku membaca buku sambil minum susu.,lon baca buku sira jep susu.,,
325,Aku membaca buku sambil minum teh.,lon baca buku sira jep te.,,
326,Aku membaca buku sambil tiduran.,lon baca buku sira eh.,,
327,Aku membaca cerita legenda Nusantara.,lon baca calitra legenda nusantara.,,
328,Aku membaca cerita legenda sebelum tidur.,lon baca calitra legenda sigohlom eh.,,
329,Aku membaca cerita petualangan favoritku.,lon baca calitra petualangan favoritlon.,,
330,Aku membaca cerita petualangan seru.,lon baca calitra petualangan seru.,,
331,Aku membaca cerita petualangan sore ini.,lon baca calitra petualangan seupot nyoe.,,
332,Aku membaca cerita rakyat Nusantara.,lon baca calitra rakyat nusantara.,,
333,Aku membaca dongeng sebelum tidur malam.,lon baca dongeng sigohlom eh malam.,,
334,Aku membaca dongeng sebelum tidur.,lon baca dongeng sigohlom eh.,,
335,Aku membaca komik favorit.,lon baca komik favorit.,,
336,Aku membaca komik kesukaan di ruang_tamu.,lon baca komik favorit bak seuramoe.,,
337,Aku membaca komik sambil duduk santai.,lon baca komik sira duek santai.,,
338,Aku membaca novel petualangan sore ini.,lon baca novel petualangan seupot nyoe.,,
339,Aku membantu adik belajar berhitung.,lon bantu adek meurunoe meuitong.,,
340,Aku membantu adik memakai jaket merah.,lon bantu adek pakek jaket mirah.,,
341,Aku membantu adik memakai kaos kaki.,lon bantu adek pakek kaoh aki.,,
342,aku membantu adik memakai kaus kaki bersih.,lon bantu adek pakek kaoh aki gleh.,,
343,aku membantu adik memakai kaus kaki putih bersih.,lon bantu adek pakek kaoh aki puteh gleh.,,
344,aku membantu adik memakai kaus kaki putih.,lon bantu adek pakek kaoh aki puteh.,,
345,aku membantu adik memakai sepatu baru.,lon bantu adek pakek sipatu baro.,,
346,aku membantu adik memakai sepatu olahraga.,lon bantu adek pakek sipatu olahraga.,,
347,aku membantu adik memakai sepatu sekolah dasar.,lon bantu adek pakek sipatu sikula dasar.,,
348,aku membantu adik memakai sepatu sekolah.,lon bantu adek pakek sipatu sikula.,,
349,aku membantu adik memakai sepatu.,lon bantu adek pakek sipatu.,,
350,aku membantu adik memakai seragam baru.,lon bantu adek pakek seragam baro.,,
351,aku membantu adik memakai seragam olahraga.,lon bantu adek pakek seragam olahraga.,,
352,aku membantu adik memakai seragam sekolah dasar.,lon bantu adek pakek seragam sikula dasar.,,
353,aku membantu adik memakai seragam sekolah.,lon bantu adek pakek seragam sikula.,,
354,aku membantu adik memakai topi baru.,lon bantu adek pakek topi baro.,,
355,Aku membantu adik menata mainan di kotak.,lon bantu adek tata mainan bak kotak.,1,
356,Aku membantu adik mengenakan baju hangat.,lon bantu adek sok bajee hangat.,,
357,Aku membantu adik mengenakan baju tidur.,lon bantu adek sok bajee eh.,,
358,Aku membantu adik mengenakan jaket biru.,lon bantu adek sok jaket biru.,,
359,Aku membantu adik mengenakan jaket hijau.,lon bantu adek sok jaket ijo.,,
360,Aku membantu adik mengenakan jaket merah tebal.,lon bantu adek sok jaket mirah teubai.,,
361,Aku membantu adik mengenakan jaket merah.,lon bantu adek sok jaket mirah.,,
362,Aku membantu adik mengenakan jaket tebal warna merah.,lon bantu adek sok jaket teubai wareuna mirah.,,
363,Aku membantu adik mengenakan jaket tebal.,lon bantu adek sok jaket teubai.,,
364,Aku membantu adik mengenakan jaket.,lon bantu adek sok jaket.,,
365,Aku membantu adik mengenakan kaos kaki baru.,lon bantu adek sok kaoh aki baro.,,
366,Aku membantu adik mengenakan kaos kaki bersih.,lon bantu adek sok kaoh aki gleh.,,
367,Aku membantu adik mengenakan kaos kaki putih.,lon bantu adek sok kaoh aki puteh.,,
368,Aku membantu adik mengenakan kaus kaki bersih warna putih.,lon bantu adek sok kaoh aki gleh wareuna puteh.,,
369,Aku membantu adik mengenakan kaus kaki bersih.,lon bantu adek sok kaoh aki gleh.,,
370,Aku membantu adik mengenakan kaus kaki putih bersih.,lon bantu adek sok kaoh aki puteh gleh.,,
371,Aku membantu adik mengenakan kaus kaki putih.,lon bantu adek sok kaoh aki puteh.,,
372,Aku membantu adik mengenakan kaus kaki.,lon bantu adek sok kaoh aki.,,
373,Aku membantu adik mengenakan sepatu hitam.,lon bantu adek sok sipatu itam.,,
374,Aku membantu adik mengenakan sepatu olahraga.,lon bantu adek sok sipatu olahraga.,,
375,Aku membantu adik mengenakan seragam olahraga.,lon bantu adek sok kaoh aki gleh.,,
376,Aku membantu adik mengenakan seragam putih bersih.,lon bantu adek sok seragam puteh gleh.,,
377,Aku membantu adik mengenakan seragam putih.,lon bantu adek sok seragam puteh.,,
378,Aku membantu adik mengenakan seragam sekolah.,lon bantu adek sok seragam sikula.,,
379,Aku membantu adik merapikan baju di lemari.,lon bantu adek peurapi bajee bak leumari.,,
380,Aku membantu adik merapikan buku cerita di meja belajar.,lon bantu adek peurapi buku calitra bak meja meurunoe.,,
381,Aku membantu adik merapikan buku cerita di rak kayu.,lon bantu adek peurapi buku calitra bak rak kayee.,,
382,Aku membantu adik merapikan buku cerita di rak.,lon bantu adek peurapi buku calitra bak rak.,,
383,Aku membantu adik merapikan buku cerita kesayangan.,lon bantu adek peurapi buku calitra kesayangan.,,
384,Aku membantu adik merapikan buku cerita.,lon bantu adek peurapi buku calitra.,,
385,Aku membantu adik merapikan buku di rak.,lon bantu adek peurapi buku bak rak.,,
386,Aku membantu adik merapikan buku pelajaran.,lon bantu adek peurapi buku pelajaran.,,
387,Aku membantu adik merapikan buku tulis.,lon bantu adek peurapi buku tuleh.,,
388,Aku membantu adik merapikan lemari baju.,lon bantu adek peurapi leumari bajee.,,
389,Aku membantu adik merapikan lemari pakaian.,lon bantu adek peurapi mainan leumari pakayan.,,
390,Aku membantu adik merapikan mainan boneka.,lon bantu adek peurapi mainan boneka.,,
391,Aku membantu adik merapikan mainan di kamar tidur.,lon bantu adek peurapi mainan bak kama eh.,,
392,Aku membantu adik merapikan mainan di kamar.,lon bantu adek peurapi mainan bak kama.,,
393,Aku membantu adik merapikan mainan di lantai kamar.,lon bantu adek peurapi mainan bak aleue kama.,,
394,Aku membantu adik merapikan mainan di lantai.,lon bantu adek peurapi mainan bak aleue.,,
395,Aku membantu adik merapikan mainan di lemari.,lon bantu adek peurapi mainan bak leumari.,,
396,Aku membantu adik merapikan mainan di rak.,lon bantu adek peurapi mainan bak rak.,,
397,Aku membantu adik merapikan mainan di ruang_tamu.,lon bantu adek peurapi mainan bak seuramoe.,,
398,Aku membantu adik merapikan mainan mobil-mobilan.,lon bantu adek peurapi mainan mobil-mobilan.,1,
399,Aku membantu adik merapikan mainan sebelum tidur malam.,lon bantu adek peurapi mainan sigohlom eh malam.,,
400,Aku membantu adik merapikan mainan sebelum tidur.,lon bantu adek peurapi mainan sigohlom eh.,,
401,Aku membantu adik merapikan mainan.,lon bantu adek peurapi mainan.,,
402,Aku membantu adik merapikan meja belajar sebelum tidur malam.,lon bantu adek peurapi meja meurunoe sigohlom eh malam.,,
403,Aku membantu adik merapikan meja belajar sebelum tidur.,lon bantu adek peurapi meja meurunoe sigohlom eh.,,
404,Aku membantu adik merapikan meja belajar.,lon bantu adek peurapi meja meurunoe.,,
405,Aku membantu adik merapikan rak buku.,lon bantu adek peurapi rak buku.,,
406,Aku membantu adik merapikan tas sekolah.,lon bantu adek peurapi tah sikula.,,
407,Aku membantu adik merapikan tempat tidur.,lon bantu adek peurapi teumpat eh.,,
408,Aku membantu ayah berkebun.,lon bantu ayah meulampoh.,,
409,Aku membantu ayah membersihkan halaman.,lon bantu ayah peugleh leun.,,
410,Aku membantu ayah memperbaiki sepeda.,lon bantu ayah peubeutoi sitangen.,,
411,Aku membantu ayah menanam pohon kecil.,lon bantu ayah pula bak ubeut.,,
412,Aku membantu ayah mencangkul kebun.,lon bantu ayah cangkoi lampoh.,,
413,Aku membantu ayah menyiapkan pupuk.,lon bantu ayah peusiap pupok.,,
414,Aku membantu ibu memasak sup ayam.,lon bantu mak maguen sop manok.,,
415,Aku membantu ibu membersihkan meja.,lon bantu mak peugleh meja.,,
416,Aku membantu ibu membersihkan rumah.,lon bantu mak peugleh rumoh.,,
417,Aku membantu ibu membuat sarapan.,lon bantu mak peugot sarapan.,,
418,Aku membantu ibu memotong sayuran.,lon bantu mak koh gule.,,
419,Aku membantu ibu menyiapkan sarapan.,lon bantu mak peusiap sarapan.,,
420,Aku membantu membersihkan meja setelah makan bersama keluarga.,lon bantu peugleh meja lheueh pajoh sajan keluarga.,,
421,Aku membantu mengecat pagar rumah agar terlihat baru.,lon bantu cat pageue rumoh bah deuh baro.,,
422,Aku membantu nenek melipat kain.,lon bantu nek lipat ija.,,
423,Aku membantu nenek memarut kelapa untuk memasak.,lon bantu nek parot u keu maguen.,,
424,Aku membantu nenek membuat adonan kue.,lon bantu nek peugot adonan kuweh.,,
425,Aku membantu nenek membuat sambal ulek.,lon bantu nek peugot sambai ulek.,,
426,Aku membantu nenek memetik cabai di kebun.,lon bantu nek pot campli bak lampoh.,,
427,Aku membantu nenek memetik cabai hijau di kebun belakang rumah.,lon bantu nek pot campli ijo bak lampoh likot rumoh.,,
428,Aku membantu nenek memetik cabai hijau di kebun belakang.,lon bantu nek pot campli ijo bak lampoh likot.,,
429,Aku membantu nenek memetik cabai hijau di kebun.,lon bantu nek pot campli ijo bak lampoh.,,
430,Aku membantu nenek memetik cabai hijau.,lon bantu nek pot campli ijo.,,
431,Aku membantu nenek memetik cabai merah di kebun belakang rumah.,lon bantu nek pot campli mirah bak lampoh likot rumoh.,,
432,Aku membantu nenek memetik cabai merah di kebun belakang.,lon bantu nek pot campli mirah bak lampoh likot.,,
433,Aku membantu nenek memetik cabai merah di kebun.,lon bantu nek pot campli mirah bak lampoh.,,
434,Aku membantu nenek memetik cabai rawit.,lon bantu nek pot campli ubeut.,,
435,Aku membantu nenek memetik daun salam di kebun.,lon bantu nek pot on salam bak lampoh.,,
436,Aku membantu nenek memetik daun salam.,lon bantu nek pot on salam.,,
437,Aku membantu nenek memetik daun singkong segar di kebun.,lon bantu nek pot on ubi segar bak lampoh.,,
438,Aku membantu nenek memetik daun singkong segar.,lon bantu nek pot on ubi segar.,,
439,Aku membantu nenek memetik daun singkong.,lon bantu nek pot on ubi.,,
440,Aku membantu nenek memetik sayur bayam.,lon bantu nek pot gule bayam.,,
441,Aku membantu nenek memilih bumbu dapur.,lon bantu nek pileh bumbu dapu.,,
442,Aku membantu nenek memilih bumbu di pasar.,lon bantu nek pileh bumbu bak pasai.,,
443,Aku membantu nenek memilih cabai di pasar.,lon bantu nek pileh campli bak pasai.,,
444,Aku membantu nenek memilih cabai merah.,lon bantu nek pileh campli mirah.,,
445,Aku membantu nenek memilih sayuran segar.,lon bantu nek pileh gule segar.,,
446,Aku membantu nenek memindahkan pot tanaman.,lon bantu nek peupinah pot tanaman.,,
447,Aku membantu nenek memotong bawang merah.,lon bantu nek koh bawang mirah.,,
448,Aku membantu nenek memotong bawang putih.,lon bantu nek koh bawang puteh.,,
449,Aku membantu nenek memotong sayur kangkung.,lon bantu nek koh gule rumpuen.,1,
450,Aku membantu nenek memotong wortel untuk dimasak.,lon bantu nek koh wortel keu dimaguen.,,
451,Aku membantu nenek memotong wortel untuk sayur.,lon bantu nek koh wortel keu gule.,,
452,Aku membantu nenek memotong wortel.,lon bantu nek koh wortel.,,
453,Aku membantu nenek mempersiapkan makan siang.,lon bantu nek peusiap pajoh cot_uroe,,
454,Aku membantu nenek mencuci beras.,lon bantu nek rhah breueh.,,
455,Aku membantu nenek mencuci kain batik.,lon bantu nek rhah ija batek.,,
456,Aku membantu nenek mencuci kain bersih.,lon bantu nek rhah ija gleh.,,
457,Aku membantu nenek mencuci kain putih bersih.,lon bantu nek rhah ija puteh gleh.,,
458,Aku membantu nenek mencuci piring di dapur.,lon bantu nek rhah pingan bak dapu.,,
459,Aku membantu nenek mencuci piring kotor.,lon bantu nek rhah pingan kuto.,,
460,Aku membantu nenek mencuci piring setelah makan malam bersama keluarga.,lon bantu nek rhah pingan lheueh pajoh malam sajan keluarga.,,
461,Aku membantu nenek mencuci piring setelah makan malam.,lon bantu nek rhah pingan lheueh pajoh malam.,,
462,Aku membantu nenek mencuci piring setelah makan pagi.,lon bantu nek rhah pingan lheueh pajoh beungoh.,,
463,Aku membantu nenek mencuci piring setelah makan siang.,lon bantu nek rhah pingan lheueh pajoh cot_uroe.,,
464,Aku membantu nenek mencuci piring setelah makan.,lon bantu nek rhah pingan lheueh pajoh .,,
465,Aku membantu nenek mencuci piring setelah sarapan pagi.,lon bantu nek rhah pingan lheueh sarapan beungoh.,,
466,Aku membantu nenek mencuci piring setelah sarapan.,lon bantu nek rhah pingan lheueh sarapan.,,
467,Aku membantu nenek mencuci piring.,lon bantu nek rhah pingan.,,
468,Aku membantu nenek mencuci sayuran di dapur.,lon bantu nek rhah gule bak dapu.,,
469,Aku membantu nenek mencuci sayuran hijau.,lon bantu nek rhah gule ijo.,,
470,Aku membantu nenek mencuci sayuran segar.,lon bantu nek rhah gule segar.,,
471,Aku membantu nenek mencuci sayuran.,lon bantu nek rhah gule.,,
472,Aku membantu nenek mengupas bawang merah.,lon bantu nek pluek bawang mirah.,,
473,Aku membantu nenek mengupas bawang.,lon bantu nek pluek bawang.,,
474,Aku membantu nenek menjemur kain bersih.,lon bantu nek adee ija gleh.,,
475,Aku membantu nenek menjemur pakaian bersih.,lon bantu nek adee pakayan gleh.,,
476,Aku membantu nenek menjemur pakaian.,lon bantu nek adee pakayan.,,
477,Aku membantu nenek menyapu lantai dapur.,lon bantu nek sampoh aleue dapu.,,
478,Aku membantu nenek menyapu lantai kamar tidur.,lon bantu nek sampoh aleue kama eh.,,
479,Aku membantu nenek menyapu lantai kamar.,lon bantu nek sampoh aleue kama.,,
480,Aku membantu nenek menyiapkan bumbu dapur.,lon bantu nek peusiap bumbu dapu.,,
481,Aku membantu nenek menyiapkan bumbu masak.,lon bantu nek peusiap bumbu maguen.,,
482,Aku membantu nenek menyiapkan makan malam keluarga.,lon bantu nek peusiap pajoh malam keluarga,,
483,Aku membantu nenek menyiapkan makan siang keluarga.,lon bantu nek peusiap pajoh cot_uroe keluarga,,
484,Aku membantu nenek menyiapkan makan siang.,lon bantu nek peusiap pajoh cot_uroe.,,
485,Aku membantu nenek menyiapkan minuman teh hangat.,lon bantu nek peusiap minuman te hangat.,,
486,Aku membantu nenek menyiapkan sarapan pagi.,lon bantu nek peusiap sarapan beungoh.,,
487,Aku membantu nenek menyiapkan sarapan.,lon bantu nek peusiap sarapan.,,
488,Aku membantu nenek menyiapkan sayur asem.,lon bantu nek peusiap gule masam.,,
489,Aku membantu nenek menyimpan bahan makanan.,lon bantu nek kubah bahan makanan.,1,
490,Aku membantu nenek menyiram bunga setiap sore.,lon bantu nek siram bungong tiep seupot.,,
491,Aku membantu nenek menyiram tanaman bunga.,lon bantu nek siram peunula bungong.,,
492,Aku membantu nenek menyusun piring bersih.,lon bantu nek suson pingan gleh.,,
493,Aku membantu nenek menyusun piring.,lon bantu nek suson pingan.,,
494,Aku membantu nenek merapikan meja makan.,lon bantu nek peurapi meja pajoh.,,
495,Aku membantu nenek merapikan meja tamu.,lon bantu nek peurapi meja jamee.,,
496,Aku membantu nenek merendam beras.,lon bantu nek reundam breueh.,,
497,Aku membawa kue untuk acara arisan tetangga.,lon ba kuweh keu acara arisan tetangga.,,
498,Aku membawa tas kain untuk belanja sayuran.,lon ba tah ija keu belanja gule.,,
499,Aku membeli alat tulis di toko.,lon bloe alat tuleh bak toko.,,
500,Aku membeli buah di pasar pagi tadi.,lon bloe boh bak pasai beungoh bunoe.,,
501,Aku membeli buah di pasar tradisional.,lon bloe boh bak pasai tradisional.,,
502,Aku membeli buah mangga di pasar.,lon bloe boh mamplam bak pasai.,,
503,Aku membeli buku bekas di toko dekat kampus.,lon bloe buku bekas bak toko toe kampus.,,
504,Aku membeli buku cerita di toko.,lon bloe buku calitra bak toko.,,
505,Aku membeli cemilan favorit di toko depan gang.,lon bloe cemilan favorit bak toko keue gang.,,
506,Aku membeli kue untuk camilan sore.,lon bloe kuweh keu cemilan seupot.,,
507,Aku membeli mainan untuk adik kecil.,lon bloe mainan keu adek ubeut.,,
508,Aku membeli makanan ringan untuk teman sekantor.,lon bloe makanan phui keu ngon sikanto.,,
509,Aku membeli sepatu baru kemarin.,lon bloe sipatu baro baroe.,,
510,Aku membeli tiket bioskop untuk menonton film baru.,lon bloe tiket bioskop keu nonton film baro.,,
511,Aku membeli tiket pertunjukan musik akhir pekan ini.,lon bloe tiket pertunjukkan musik akhe peukan nyoe.,,
512,Aku memindahkan pot bunga bersama nenek.,lon peupinah pot bungong sajan nek.,1,
513,Aku memindahkan pot bunga ke sudut teras yang lebih teduh.,lon peupinah pot bungong u sagoe teras nyang leubeh teudoh.,,
514,Aku memotong sayur untuk nenek masak.,lon koh gule keu nek maguen.,,
515,Aku memotret pemandangan senja yang indah di tepi pantai.,lon potret pemandangan sinja nyang indah bak bineh pante.,,
516,Aku mempersiapkan bahan ajar untuk kelas daring.,lon peusiap bahan ajar keu glah daring.,,
517,Aku menanam cabai di pekarangan rumah.,lon pula campli bak pekarangan rumoh.,,
518,Aku mencatat ide bisnis yang muncul tiba-tiba.,lon catat ide bisnis nyang teubiet tiba-tiba.,,
519,Aku mencatat ide presentasi di buku kecil.,lon catat ide presentasi bak buku ubeut.,,
520,Aku mencatat ide-ide baru untuk proyek kreatif.,lon catat ide-ide baro keu proyek kreatif.,,
521,Aku mencatat jadwal pertemuan di kalender.,lon catat jadwal rapat bak kalender.,,
522,Aku mencatat nomor telepon penting di ponsel.,lon catat nomboi talipun peunteng bak ponsel.,,
523,Aku mencatat pengeluaran harian di buku kecil.,lon catat pengeluaran harian bak buku ubeut.,,
524,Aku mencatat rencana kegiatan pekan depan.,lon catat reuncana kegiatan peukan keue.,,
525,Aku mencatat semua tugas yang harus diselesaikan hari ini.,lon catat mandum tugah nyang suwah dipeulheueh uroe nyoe.,,
526,Aku mencetak dokumen penting untuk presentasi.,lon cetak dokumen peunteng keu presentasi.,,
527,Aku mencetak dokumen untuk keperluan kerja.,lon cetak dokumen keu keperluan keureuja.,,
528,Aku mencetak foto liburan untuk dijadikan album.,lon cetak foto liburan keu dipeujeuet album.,,
529,Aku mencoba resep baru untuk makan malam nanti.,lon cuba resep baro keu pajoh malam eunteuk.,,
530,Aku mencuci baju olahraga setelah digunakan.,lon rhah bajee olahraga lheueh dipakek.,,
531,Aku mencuci baju seragam sekolah.,lon rhah bajee seragam sikula.,,
532,Aku mencuci botol minum di dapur.,lon rhah plok jep bak dapu.,,
533,Aku mencuci botol minum setelah digunakan.,lon rhah plok jep lheueh dipakek.,,
534,Aku mencuci botol minum setelah dipakai.,lon rhah plok jep lheueh dipakek.,,
